Date	Segment	Region	Revenue	Active_Users	Churn_Count	Avg_Session_Duration
1/1/2024	Enterprise	North	12000	450	2	45.5
1/1/2024	SMB	North	5000	1200	15	12.2
1/1/2024	Enterprise	South	15000	510	1	48.1
1/1/2024	SMB	South	4200	980	25	10.5
1/2/2024	Enterprise	North	12500	452	1	46
1/2/2024	SMB	North	4800	1180	22	11.8
1/2/2024	Enterprise	South	14800	505	3	47.5
1/2/2024	SMB	South	4400	1010	20	11.2
1/3/2024	Enterprise	North	13000	455	0	46.8
1/3/2024	SMB	North	5200	1210	10	13.1
1/3/2024	Enterprise	South	15500	520	1	49.2
1/3/2024	SMB	South	4600	1050	18	12
1/4/2024	Enterprise	North	12800	453	3	44.2
1/4/2024	SMB	North	4900	1195	18	12.5
1/4/2024	Enterprise	South	15200	515	2	48.5
1/4/2024	SMB	South	4300	1020	22	11
1/5/2024	Enterprise	North	14000	460	1	47.5
1/5/2024	SMB	North	5500	1250	8	14.2
1/5/2024	Enterprise	South	16000	530	0	50.1
1/5/2024	SMB	South	4800	1100	15	13.5
